run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.max_error_M0,metrics.r2_score_M,metrics.explained_variance_score_M0,metrics.mean_squared_error_M0,metrics.mean_absolute_error_Db,metrics.final_est_num_agents,metrics.r2_score_Db,metrics.explained_variance_score_Db,metrics.smape_Nd,metrics.final_num_agents,metrics.pearson_M,metrics.pearson_M0,metrics.smape_M0,metrics.pearson_Nd,metrics.r2_score_M0,metrics.smape_P,metrics.mean_squared_error_P,metrics.smape_M,metrics.max_error_P,metrics.pearson_Db,metrics.mean_squared_error_M,metrics.mean_squared_error_Nd,metrics.mean_absolute_error_M0,metrics.smape_Db,metrics.explained_variance_score_P,metrics.mean_squared_error_Db,metrics.mean_absolute_error_P,metrics.max_error_M,metrics.r2_score_P,metrics.max_error_Db,metrics.mean_absolute_error_M,metrics.r2_score_Nd,metrics.phi_estimated,metrics.total_loss,metrics.pearson_P,metrics.mean_absolute_error_Nd,metrics.explained_variance_score_M,metrics.explained_variance_score_Nd,metrics.max_error_Nd,use_relative_error,price_error_stddev,Gammak,delta,epochs,num_restarts,N,num_deals_error_stddev,Q,num_considered_Dbs,learning_steps,max_iteration,learning_rate,seed,M0_initialization_variance,threshold,tags.mlflow.source.type,tags.mlflow.source.name,tags.mlflow.user,tags.mlflow.source.git.commit,metrics.pearson_MP,metrics.r2_score_MP,dist_to_median,Model
3b81e577424e4b69ac4b26eda1fc3d4a,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/3b81e577424e4b69ac4b26eda1fc3d4a/artifacts,2023-03-09 07:56:45.253000+00:00,2023-03-09 09:12:02.803000+00:00,822.0333404541016,-0.1307937335353848,-0.0927930868713908,113108.98991793452,4.801353266034101,5000.00008660555,0.7752752028530724,0.7752752028530724,0.1258263619167425,5000.0,0.3029635329359604,0.2752525122797018,1.0110111388069336,0.9410871818608124,-0.0927930868713913,0.0269561701696141,1.7372660295560278,0.7281724330872436,4.751555985107423,0.8805077437994111,72118.9360015568,52.07428815317491,263.9977406819661,,0.9787554776921308,99.37356813439142,1.0264363623291388,822.0333404541016,0.9766164853878012,37.218390804597696,195.16032754468745,0.8856436113141096,1.0,2775.09517288208,0.9893207769355068,5.171829374212968,-0.1307937335353846,0.88564361131411,23.1800537109375,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,51,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.6461421549357336,0.4229113759262082,0.2140923892088361,original
88cd56216aa34c0089c0aa68d7e39a96,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/88cd56216aa34c0089c0aa68d7e39a96/artifacts,2023-03-06 10:59:17.394000+00:00,2023-03-06 12:39:03.848000+00:00,581.2772979736328,0.1696433259282898,0.3033373358366145,107430.18204568051,5.563972058514791,4999.999978542328,0.710339010982344,0.710339010982344,0.095617275352047,5000.0,0.430068681888082,0.5681311268317377,1.22536380378796,0.4280727630514698,0.3033373358366144,0.0822633418713675,5.422894396117396,0.7091269311473228,4.2083561991553005,0.8428166440663116,48153.05519570595,38.81595171660056,290.1922607421875,,0.9501609780930744,87.96275849183888,2.0947333986648986,581.2772979736328,0.8219447324294786,24.08196721311477,187.7706649570857,0.1717171129656214,1.0,2312.161911010742,0.9752388666577488,4.697395244397615,0.1696433259282899,0.1717171129656221,17.057254791259766,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,46,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.7026537742729154,0.4957940291788842,0.0869872402567145,original
562eac25520b4140832de9522b391bf9,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/562eac25520b4140832de9522b391bf9/artifacts,2023-03-06 12:39:03.850000+00:00,2023-03-06 14:18:06.022000+00:00,500.2983551025391,0.4454869311802516,0.2984134171997843,77786.65060611068,4.780376155659842,4999.999762415887,0.7788890203524255,0.7788890203524255,0.1135076689946147,5000.0,0.7372488645615569,0.5462981706331704,1.0575628205560617,0.8985106504839582,0.2984134171997821,0.02636730494573,1.9238575344553872,0.7227284173539374,5.522437392156164,0.8826085995322883,48118.47534995304,44.29489757803066,239.82938486735023,,0.9568171344071744,80.25846458966323,1.0350311718519205,500.2983551025391,0.9535087476668248,34.25842696629214,188.9062392037159,0.8059602589638082,1.0,2404.737560272217,0.978184125074858,4.878272428010639,0.4454869311802543,0.806174315163699,16.507282257080078,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,46,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.8577164948182074,0.6994978394235383,0.2201929424167603,original
56eacfdd2c9f4d6ab544fb81063b4f8e,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/56eacfdd2c9f4d6ab544fb81063b4f8e/artifacts,2023-03-04 21:33:59.615000+00:00,2023-03-04 22:49:11.439000+00:00,607.8625335693359,-0.0052931943847376,-0.0774719327247039,100379.24864593308,5.652933084373621,5000.000015258789,0.7239356586888797,0.7239356586888797,0.1089311195608629,5000.0,0.3986352310668074,0.2747006966043228,0.9458990448092884,0.9294086210394064,-0.0774719327247039,0.0242973297853905,1.790825689544595,0.6888671607854981,4.731441630859393,0.8508526559438205,62091.94978906745,62.2425783438768,267.71549936930336,,0.9714292898341156,122.19027493381888,0.9899435380710118,607.8625335693359,0.9706305137295768,43.27027027027029,196.7299149740359,0.8633138016026747,1.0,3243.178482055664,0.9856122014638596,5.333277883027729,-0.0052931943847378,0.8633138016026753,33.84343719482422,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,43,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.6921237162653335,0.4826686596724195,0.1184206910779891,original
1bb58dfadba7462fa3df5d95c66d4ec9,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/1bb58dfadba7462fa3df5d95c66d4ec9/artifacts,2023-03-06 15:55:05.173000+00:00,2023-03-06 17:32:06.574000+00:00,626.2415771484375,0.2225456929225552,0.2321650557875068,89708.47710017703,5.778677083112887,4999.999915361404,0.7091151251151813,0.7091151251151813,0.0974804547487111,5000.0,0.4794441641226918,0.4916230587634843,0.8916069073280969,0.8416678232970904,0.2321650557875065,0.0354099159963955,2.1160650553921334,0.5990990982713532,3.225837262152254,0.842100380866992,54021.02552779896,37.30662167348783,237.6762486775716,,0.9760313722063512,96.95277933967988,1.1801383703219006,626.2415771484375,0.9696865681542094,27.72857142857144,177.40455084105744,0.7064660378514707,1.0,2086.786527633667,0.990559005575292,4.756667368035568,0.2225456929225556,0.706466037851472,14.332992553710938,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,46,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.7350015848489919,0.5961161305383823,0.0376117580221047,original
c70e839e9f124225910569fd91984f27,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/c70e839e9f124225910569fd91984f27/artifacts,2023-03-05 00:14:41.797000+00:00,2023-03-05 01:24:30.408000+00:00,719.5558471679688,0.2981203704215563,0.1538668429694151,115513.27126761754,5.409455233978179,4999.999894976615,0.7575203885767277,0.7575203885767277,0.1354838267789232,5000.0,0.5464282836296904,0.3944201499075737,1.2552234675390996,0.9796095823664056,0.1538668429694145,0.0261759471458966,2.8552645697718173,0.929022506016488,7.0414830957031285,0.8704504903495177,70232.15485905512,38.74951110874802,293.7180252075196,,0.9844069437041222,142.64851196013893,1.1926917528942902,719.5558471679688,0.984405521428066,43.87068965517245,220.92862866566108,0.9594315666596076,1.0,2187.8396282196045,0.992513221235494,4.406055234607897,0.2981203704215569,0.959590377219622,25.25737762451172,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,43,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.7694707524325922,0.6412629459248111,0.0293723614848938,original
9c0b7116da774426b4e00d5bf8d897cf,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/9c0b7116da774426b4e00d5bf8d897cf/artifacts,2023-03-06 19:12:09.535000+00:00,2023-03-06 20:56:46.885000+00:00,503.2491760253906,0.390555600074331,0.3747174271095979,76358.14607488383,5.126830046956747,4999.999991178513,0.7732414179066208,0.7732414179066208,0.1132923926463516,5000.0,0.6329315710979567,0.6127450178816616,0.9416469041788936,0.9345203234782976,0.3747174271095979,0.0282612166968704,1.9802577398265933,0.6464366938433741,5.002457481427022,0.8793551728846043,46381.45456253864,46.48582383163381,224.86601587931315,,0.975094295880002,93.24953319425302,1.097106959469081,503.2491760253906,0.9737722632113996,35.0843373493976,171.13137140117365,0.871422165151904,1.0,2513.1083984375,0.9877516269602432,5.144427128842002,0.3905556000743309,0.8714469900477053,20.5966911315918,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,46,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.8103415990291,0.6821639316428654,0.1158756489531601,original
27928f6df6db40baa1f923f09cf0d0e4,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/27928f6df6db40baa1f923f09cf0d0e4/artifacts,2023-03-06 20:56:46.888000+00:00,2023-03-06 22:32:37.877000+00:00,467.7410888671875,0.461643854808912,0.5367790022876757,64034.7236941564,5.608255673496836,4999.999941110611,0.7194325748973991,0.7194325748973991,0.118424199841106,5000.0,0.7210236081323826,0.7962625266317604,0.9457532727931328,0.866246853034728,0.5367790022876755,0.0430671705632124,2.6354804753046195,0.5983542799352666,3.301904768122069,0.8482102336886213,39926.18336201397,44.02193352017357,215.33759460449212,,0.9773633605496056,98.00892864356024,1.3542997397402865,467.7410888671875,0.9656140122281583,29.534246575342472,165.75582953160838,0.7388156579804841,1.0,2431.711669921875,0.9899143458435676,5.194202794526753,0.4616438548089122,0.7388156579804844,18.04651641845703,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,46,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.8554689769879751,0.7136289335185352,0.203967685987586,original
2691fe570cc9453ca055072ec0c30e8c,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/2691fe570cc9453ca055072ec0c30e8c/artifacts,2023-03-06 05:42:55.919000+00:00,2023-03-06 06:55:05.886000+00:00,307.2140197753906,0.7488679862248098,0.8051295972604173,21636.99779239676,5.2794000035493305,4999.999934673309,0.7355439218779145,0.7355439218779145,0.1126836333161214,5000.0,0.8758220427693326,0.904592209743872,0.7784286633493763,0.8418590166408342,0.8051295972604172,0.0420289504022746,2.4315725351917994,0.4234870865009442,3.188273394706016,0.8576425533247519,14501.948513564255,49.29411463177643,120.26853968302407,,0.977688784706622,91.73962954526168,1.306908861461065,307.2140197753906,0.9642205013987404,27.915492957746466,97.12800950984624,0.708353458324025,1.0,2676.291000366211,0.9906263511840016,5.496795774760999,0.74886798622481,0.7083593583775923,19.548320770263672,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,45,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.933224196976667,0.8565442438117751,0.358766120624536,original
9f9ce588b0a444ec9f13c74b10faefe8,2,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/2/9f9ce588b0a444ec9f13c74b10faefe8/artifacts,2023-03-06 06:55:05.887000+00:00,2023-03-06 08:02:51.497000+00:00,643.4932403564453,0.2280275353470997,0.098630313326555,97130.71609668124,5.244503419343666,5000.000005722046,0.7437318868870528,0.7437318868870528,0.1012755476857367,5000.0,0.4876835606599027,0.3959567191226286,1.0391264457419338,0.8055724766076084,0.098630313326555,0.0338341109122504,1.9727272226761512,0.6108651530162661,3.917445783151472,0.8624076107847047,56553.8861851533,41.86815266544861,245.22767130533853,,0.9745599842407956,84.20820332497807,1.1026917373674308,643.4932403564453,0.9680191503635114,29.39682539682541,177.82467167944648,0.6489431153382508,1.0,2292.66370010376,0.989573256580191,4.9115439364784645,0.2280275353470998,0.648943115338251,17.18921661376953,False,1.0,[0.5 0.4 0.1],0.0625,5,1,1000,1.0,500,256,4,100,0.001,45,1,0.05,LOCAL,grid-original-abm.py,corrado,2a4ecb25997a2822cc9b10841572ca436a908aa3,0.7386284086200469,0.5980233428553056,0.0293723614848938,original
