rmse,group
3.1439459651107837,smart random MT
2.553971659356759,smart random MT
3.9173492447422085,smart random MT
2.1336665916987654,smart random MT
3.6053900613801666,smart random MT
1.7625074033621857,smart random MT
1.2044515646019351,smart random MT
3.3728810532909206,smart random MT
1.868580493485883,smart random MT
1.8740628829684245,smart random MT
1.735548457979381,time series MT
1.3016487759410282,time series MT
1.5309426255411867,time series MT
1.4511408062197142,time series MT
1.5307005740880322,time series MT
1.1571753229420714,time series MT
1.3827977992005502,time series MT
1.8350329187609282,time series MT
1.2246095899911646,time series MT
1.1007967791785211,time series MT
0.4139110015590864,constant predictor
0.6114374802423077,constant predictor
0.6660599903334443,constant predictor
0.9163487977949688,constant predictor
0.6701776058536014,constant predictor
0.6262625741419148,constant predictor
1.0778871483634243,constant predictor
1.1925475880503194,constant predictor
1.177988784634918,constant predictor
0.6032517575765167,constant predictor
0.1165893219701891,learned MT
0.07490307759985712,learned MT
0.142626133891229,learned MT
0.1988147142223786,learned MT
0.0485842412443111,learned MT
0.05253327558814452,learned MT
0.03948028355618114,learned MT
0.06385578325191575,learned MT
0.1461186578445003,learned MT
0.05571946718246559,learned MT
