652 348 0 750 151 99 998 2 0 915 85 0 999 1 0
619 369 12 710 189 101 956 34 10 867 124 9 961 31 8
592 391 17 670 221 109 912 71 17 814 162 24 912 73 15
573 404 23 636 245 119 866 109 25 764 201 35 854 123 23
543 427 30 594 277 129 820 149 31 719 236 45 822 149 29
512 448 40 560 302 138 779 184 37 681 265 54 782 184 34
478 474 48 526 331 143 734 223 43 645 289 66 730 220 50
440 502 58 490 366 144 701 246 53 615 313 72 689 252 59
412 522 66 466 390 144 657 281 62 576 345 79 647 285 68
386 536 78 439 415 146 615 311 74 539 377 84 606 319 75
354 555 91 417 434 149 581 336 83 498 413 89 574 343 83
332 571 97 391 451 158 532 376 92 470 437 93 532 376 92
306 591 103 360 483 157 490 402 108 436 463 101 500 403 97
293 598 109 323 517 160 458 425 117 408 492 100 468 430 102
271 614 115 300 535 165 424 450 126 380 518 102 423 466 111
256 630 114 280 552 168 392 478 130 354 534 112 390 491 119
241 637 122 260 569 171 355 511 134 328 556 116 360 519 121
226 642 132 242 583 175 324 536 140 300 577 123 323 548 129
214 652 134 227 597 176 297 557 146 276 592 132 301 565 134
195 661 144 216 607 177 275 575 150 247 614 139 275 590 135
175 675 150 203 614 183 251 597 152 228 629 143 250 612 138
163 685 152 183 631 186 231 618 151 204 644 152 232 629 139
152 694 154 169 645 186 216 634 150 187 656 157 208 640 152
141 703 156 158 653 189 199 646 155 171 667 162 184 659 157
126 713 161 145 664 191 179 659 162 149 685 166 164 678 158
