454 68 478 963 37 0 542 458 0 610 388 2 852 148 0
447 68 485 911 75 14 507 486 7 560 427 13 804 189 7
440 66 494 862 120 18 478 502 20 528 450 22 749 235 16
431 66 503 803 169 28 459 512 29 502 471 27 695 280 25
426 64 510 749 217 34 428 531 41 460 504 36 654 312 34
424 63 513 694 268 38 403 548 49 429 523 48 610 348 42
422 60 518 645 309 46 382 562 56 395 548 57 575 376 49
419 60 521 595 347 58 354 583 63 363 569 68 526 421 53
414 60 526 554 387 59 335 594 71 335 584 81 476 461 63
412 59 529 503 425 72 312 608 80 317 592 91 436 493 71
404 69 527 471 447 82 286 622 92 301 601 98 401 526 73
388 85 527 433 482 85 267 629 104 280 615 105 366 556 78
383 85 532 388 520 92 249 648 103 259 629 112 334 582 84
378 89 533 348 552 100 228 661 111 243 640 117 315 590 95
368 100 532 314 582 104 211 668 121 230 649 121 291 614 95
357 119 524 286 611 103 197 679 124 211 658 131 268 630 102
343 134 523 257 637 106 183 688 129 200 663 137 239 654 107
331 164 505 235 658 107 170 695 135 189 666 145 220 667 113
312 191 497 222 666 112 156 704 140 175 673 152 200 679 121
297 216 487 207 676 117 135 722 143 163 683 154 183 691 126
279 245 476 189 685 126 126 726 148 149 694 157 164 703 133
261 277 462 173 697 130 122 722 156 136 705 159 152 710 138
244 304 452 153 709 138 113 730 157 129 702 169 140 720 140
227 332 441 145 712 143 107 734 159 112 720 168 131 728 141
210 354 436 137 708 155 97 743 160 102 728 170 124 729 147
