0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 50 15 0 52 8 0 43 13 0 55 10 0 0 4
0 54 10 0 38 10 0 47 7 0 61 8 0 0 15
0 40 12 0 59 6 0 52 8 0 49 12 0 0 12
0 44 12 0 54 12 0 52 5 0 50 10 0 0 11
0 53 11 0 52 14 0 50 6 0 45 9 0 0 10
0 47 13 0 48 6 0 52 12 0 53 8 0 0 11
0 47 12 0 45 12 0 58 6 0 50 9 0 0 11
0 51 12 0 55 10 0 56 13 0 38 7 0 0 8
0 51 4 0 36 13 0 52 17 0 58 6 0 3 10
0 39 13 0 51 14 0 40 6 0 54 5 0 16 12
0 40 8 0 53 10 0 60 10 0 42 11 0 5 11
0 49 14 0 53 5 0 50 9 0 48 11 0 0 11
0 36 12 0 60 10 0 70 9 0 34 12 0 0 7
0 55 11 0 51 8 0 43 10 0 51 12 0 0 9
0 37 10 0 50 13 0 49 10 0 48 5 0 16 12
0 24 10 0 62 10 0 52 14 0 50 4 0 12 12
0 29 12 0 45 12 0 53 10 0 41 9 0 32 7
0 35 11 0 41 12 0 45 9 0 53 10 0 26 8
0 27 6 0 40 8 0 52 18 0 48 9 0 33 9
0 50 13 0 41 13 0 45 3 0 36 10 0 28 11
0 36 5 0 39 13 0 49 12 0 44 9 0 32 11
0 32 5 0 48 13 0 48 10 0 42 6 0 30 16
0 48 10 0 32 7 0 44 8 0 49 10 0 27 15
0 40 6 0 41 10 0 41 9 0 43 16 0 35 9
