14 965 21 9 15 976 287 712 1 94 523 383 145 184 671
14 950 36 9 15 976 261 724 15 92 518 390 142 183 675
12 944 44 9 15 976 232 744 24 92 513 395 138 179 683
12 931 57 9 14 977 214 756 30 92 503 405 135 176 689
12 919 69 9 14 977 188 779 33 90 493 417 134 176 690
12 908 80 9 14 977 184 769 47 89 489 422 132 174 694
12 898 90 9 14 977 183 761 56 85 485 430 130 174 696
12 888 100 9 14 977 183 756 61 82 481 437 129 171 700
12 882 106 9 14 977 183 748 69 81 475 444 128 168 704
12 869 119 9 14 977 181 737 82 80 470 450 128 165 707
10 874 116 9 14 977 178 726 96 80 466 454 126 163 711
9 874 117 9 13 978 177 717 106 78 460 462 124 162 714
9 856 135 8 13 979 167 719 114 77 455 468 123 162 715
8 850 142 7 13 980 161 723 116 75 452 473 122 160 718
6 867 127 7 13 980 159 715 126 75 446 479 120 160 720
5 868 127 7 13 980 159 706 135 75 435 490 120 159 721
4 866 130 7 13 980 157 703 140 75 425 500 120 158 722
3 874 123 7 13 980 142 713 145 71 417 512 118 156 726
3 875 122 7 12 981 120 733 147 68 412 520 117 154 729
3 869 128 7 11 982 93 773 134 66 407 527 115 153 732
3 854 143 7 11 982 73 814 113 66 402 532 115 153 732
3 853 144 7 11 982 61 824 115 59 426 515 115 152 733
2 856 142 7 11 982 54 833 113 56 455 489 114 150 736
2 847 151 7 10 983 49 839 112 48 507 445 113 148 739
2 842 156 7 10 983 41 848 111 38 551 411 113 144 743
