328 514 158 10 990 0 963 37 0 342 584 74 846 106 48
307 528 165 10 979 11 902 87 11 323 596 81 795 158 47
293 539 168 10 968 22 850 134 16 308 602 90 722 221 57
277 547 176 10 960 30 787 187 26 287 613 100 667 270 63
272 543 185 10 945 45 725 245 30 272 626 102 612 320 68
258 551 191 9 936 55 663 300 37 255 637 108 568 359 73
247 556 197 9 927 64 610 343 47 237 648 115 521 400 79
239 562 199 8 918 74 557 389 54 226 657 117 475 444 81
234 561 205 8 910 82 495 436 69 215 666 119 443 474 83
229 567 204 7 905 88 464 459 77 204 679 117 404 503 93
215 572 213 7 891 102 429 491 80 189 694 117 371 531 98
206 582 212 7 882 111 390 526 84 174 705 121 334 558 108
193 595 212 7 877 116 359 551 90 165 711 124 309 578 113
181 603 216 7 872 121 322 588 90 149 720 131 296 587 117
159 626 215 7 864 129 297 609 94 142 715 143 276 605 119
150 631 219 7 849 144 267 634 99 132 725 143 259 612 129
144 635 221 7 841 152 235 656 109 123 733 144 245 623 132
140 637 223 6 832 162 220 666 114 113 740 147 226 640 134
128 648 224 5 821 174 201 682 117 104 747 149 214 649 137
123 658 219 5 816 179 183 692 125 93 750 157 201 661 138
107 676 217 4 813 183 171 706 123 85 755 160 186 672 142
101 682 217 3 801 196 154 714 132 79 757 164 170 688 142
95 691 214 3 791 206 142 726 132 71 754 175 163 692 145
91 693 216 3 788 209 124 743 133 60 767 173 152 697 151
82 700 218 3 783 214 114 754 132 55 766 179 137 706 157
