400 600 0 34 966 0 337 663 0 387 613 0 887 99 14
380 609 11 34 958 8 321 666 13 360 629 11 847 132 21
362 624 14 34 944 22 299 682 19 334 643 23 783 182 35
343 635 22 34 930 36 286 683 31 315 653 32 712 247 41
314 653 33 33 916 51 266 695 39 291 667 42 665 291 44
288 667 45 33 903 64 252 702 46 275 678 47 612 334 54
263 683 54 32 896 72 238 711 51 262 683 55 571 369 60
242 694 64 32 886 82 223 718 59 250 686 64 528 401 71
226 706 68 32 880 88 215 717 68 234 695 71 473 442 85
212 709 79 31 878 91 203 718 79 224 696 80 443 468 89
200 710 90 30 868 102 193 720 87 211 704 85 424 484 92
189 715 96 29 864 107 177 729 94 199 713 88 391 513 96
175 723 102 27 858 115 163 733 104 185 714 101 368 533 99
165 725 110 25 847 128 153 735 112 175 719 106 341 558 101
152 730 118 22 842 136 145 737 118 161 731 108 315 579 106
137 744 119 21 837 142 135 741 124 149 734 117 286 597 117
125 753 122 21 826 153 126 743 131 137 742 121 264 612 124
115 757 128 20 824 156 113 749 138 125 750 125 240 631 129
106 759 135 18 818 164 104 753 143 110 757 133 227 642 131
102 756 142 15 813 172 98 759 143 101 764 135 205 662 133
97 756 147 12 810 178 93 762 145 94 762 144 181 685 134
90 761 149 12 806 182 88 761 151 86 757 157 175 691 134
84 766 150 10 801 189 84 761 155 83 755 162 159 698 143
78 771 151 10 796 194 75 765 160 74 754 172 148 706 146
71 777 152 8 797 195 70 764 166 62 762 176 137 710 153
