run_id,experiment_id,status,metrics.explained_variance_score_avg_M0,metrics.mean_squared_error_Nd,metrics.total_loss,metrics.max_error_P,metrics.explained_variance_score_M,metrics.r2_score_M0,metrics.explained_variance_score_P,metrics.r2_score_avg_M,metrics.max_error_avg_M0,metrics.phi_estimated,metrics.pearson_M,metrics.max_error_avg_M,metrics.r2_score_Nd,metrics.mean_absolute_error_P,metrics.mean_absolute_error_M,metrics.max_error_M,metrics.mean_absolute_error_avg_M,metrics.mean_absolute_error_M0,metrics.mean_absolute_error_avg_M0,metrics.max_error_M0,metrics.mean_squared_error_M,metrics.pearson_Nd,metrics.final_est_num_agents,metrics.mean_squared_error_P,metrics.r2_score_M,metrics.max_error_Nd,metrics.pearson_M0,metrics.mean_squared_error_M0,metrics.r2_score_avg_M0,metrics.r2_score_P,metrics.explained_variance_score_Nd,metrics.explained_variance_score_avg_M,metrics.pearson_avg_M,metrics.pearson_avg_M0,metrics.final_num_agents,metrics.explained_variance_score_M0,metrics.mean_squared_error_avg_M0,metrics.mean_squared_error_avg_M,metrics.mean_absolute_error_Nd,metrics.pearson_P,params.num_considered_Dbs,params.threshold,params.Q,params.N,params.price_error_stddev,params.delta,params.seed,params.learning_rate,params.M0_initialization_variance,params.epochs,params.trace_num,params.num_deals_error_stddev,params.max_iteration,params.Gammak,params.learning_steps,params.num_restarts,params.use_relative_error,tags.mlflow.source.name
5ce6c586126c4d6d895e5f8be459c63e,6,FINISHED,-0.0077920088086997,37.13266002920442,17637995.984375,5.111687639557019,-0.02377668692911,0.020264047674995,0.9727690662232736,-0.107548899941416,584.4589169150904,1.0,0.3138208949371248,584.4589169150904,0.8859193227225141,1.7966017009690762,194.1323628896436,561.1414184570312,203.60247213723991,264.31235122680664,270.54590910526747,561.1414184570312,54346.61438574655,0.9413804641375908,5000.000160813332,4.475783805562791,-0.0237766869291122,21.51378631591797,0.2670918142053328,96358.9468392488,-0.0077920088086997,0.9453407150328912,0.8859193234910889,-0.107548899941416,0.2659880051595331,0.2528608932940024,5000.0,0.0202640476749961,99118.31485959732,58793.61558722588,4.564043386358964,0.9868413818332686,32,0.05,500,1000,1.0,0.0625,52,0.001,1,5,4,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
a2833dccb9504a29a68b52d32daff76a,6,FINISHED,-0.1794002881663845,38.96981392353836,18510552.69921875,4.140310457222,-0.1272481063199633,-0.2831960577873422,0.9337973805485198,-0.0179938113733655,585.7546997070312,1.0,0.1190313932162304,585.7546997070312,0.8584405101659122,1.3309466685325368,268.56253459392366,624.0440063476562,258.7240313512322,303.5300857543945,294.8260462175336,624.0440063476562,104254.09972706344,0.926876905185382,5000.000065922737,2.588082873888523,-0.1272481063199637,17.2991943359375,0.021061784438564,133231.62325700826,-0.1794002881663845,0.9139136230700492,0.858498011601677,-0.0179938113733653,0.2109166938656769,0.0881491150657884,5000.0,-0.283196057787342,122454.72070194878,94149.66211735448,4.698233574315121,0.9663378540095742,32,0.05,500,1000,1.0,0.0625,52,0.001,1,5,3,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
bb0f1fe580cb44f38772db302310691e,6,FINISHED,-0.3747561431247912,43.69014939367766,20752856.03515625,5.260984590640817,-0.8339838146931131,-0.3857458747828397,0.9793817646102244,-0.7593289087476796,957.889468042474,1.0,-0.1471190891410951,957.889468042474,0.8425365488072578,2.0376997188507477,319.6150679786831,959.5571718215942,312.8665446287943,426.8248629887899,426.2639616916054,959.5571718215942,165687.87283063235,0.9181156805810754,4999.999947473407,5.511485178595474,-0.8339838146931131,17.68250274658203,0.0152265005661473,266021.5739933562,-0.3747561431247912,0.954726059869021,0.8427289985568533,-0.7593289087476793,-0.1212220933024091,0.0214180582535211,5000.0,-0.3857458747828397,263911.8756953932,158943.31354751805,4.902946231239721,0.9912237780233264,32,0.05,500,1000,1.0,0.0625,52,0.001,1,5,2,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
53bb6e35407b49d09fec3dcbea4efc8f,6,FINISHED,0.092928764601059,30.55751318935581,14514742.9453125,8.057478249511732,0.1623963486482637,0.0943249538814855,0.9859985508804888,0.1437498822799775,727.5582138864618,1.0,0.4711709158615582,727.5582138864618,0.9645556426828552,1.303396364452381,228.14687595795652,724.3362731933594,237.1638284345982,264.19184697469075,268.5839638024046,724.3362731933594,92945.3387804106,0.9821299953668904,5000.000063255429,3.168869758562213,0.1623963486482635,19.482635498046875,0.4248996260839363,129387.47423974148,0.0929287646010589,0.985952855817572,0.9645634129909552,0.1437498822799775,0.437823316069964,0.4132560252963929,5000.0,0.0943249538814854,129586.93805993749,95014.45838233804,4.140081133340535,0.994623818337906,32,0.05,500,1000,1.0,0.0625,52,0.001,1,5,1,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
8769bcde5d75446982dff0991a5728a2,6,FINISHED,-0.910986667448332,44.57189083400808,21171550.046875,4.506333159267648,-0.6616011584018981,-0.91213741548775,0.9693693147339308,-0.6174924196497189,862.5467079564145,1.0,-0.0210259029335336,862.5467079564145,0.6262727599972844,1.4438753802165023,283.40106673388016,836.3026733398438,281.10894729479577,386.4512283325195,384.5770675391482,836.3026733398438,121727.14325974224,0.7945332649144401,5000.000139534473,3.0869255257874437,-0.6616011584018993,16.825294494628906,-0.1748148107397578,206050.05824748703,-0.9109866674483325,0.9499563345887616,0.6262727620927013,-0.6174924196497189,0.0087809503005383,-0.161822177632645,5000.0,-0.9121374154877492,205926.05476393524,118495.78371600115,5.190665777106034,0.9873561105988746,32,0.05,500,1000,1.0,0.0625,51,0.001,1,5,20,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
0a76883193eb405eaaf07b827c307ac0,6,FINISHED,0.2122695724294107,50.07486665016612,23785506.234375,4.183680063332176,0.1485710384253872,0.268043020832886,0.9654099776821612,0.0703354265826274,661.7360197368421,1.0,0.5273665486151814,661.7360197368421,0.7037341720710754,1.6893138609644414,178.86998770651965,620.2113647460938,188.633860745683,239.6278299967448,246.843175894754,620.2113647460938,49166.8854882266,0.8392491126988355,5000.000061750412,4.029605759824321,0.1485710384253867,19.498512268066406,0.5764651370628753,81271.20034504504,0.2122695724294104,0.9407061596721442,0.7037398866959839,0.0703354265826283,0.4791857046313684,0.5460670977092608,5000.0,0.268043020832886,87463.88000811853,53684.70381738053,5.471561100608424,0.9854919981143592,32,0.05,500,1000,1.0,0.0625,51,0.001,1,5,19,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
c9cd30b678c94dc8a0e33ee348ae6398,6,FINISHED,-0.0595141322378824,49.41366219557442,23471439.5,5.673643900210783,-0.0751282107264188,0.006261528954233,0.9704314520060984,-0.1472471175997658,639.3417872378701,1.0,0.204445562545925,639.3417872378701,0.7068262610180134,1.7115819935693888,234.2531267543088,605.9580078125,239.73379671051643,313.5604515075684,321.9595821982937,605.9580078125,79734.88639922679,0.8511608799154307,4999.999845981598,4.10153924341222,-0.0751282107264199,21.53266143798828,0.2372676097545616,137372.37459427046,-0.0595141322378824,0.9464858572881668,0.7068262625004207,-0.1472471175997658,0.1557653556626893,0.187390781477208,5000.0,0.0062615289542334,146465.0675227834,85083.45114658593,5.479276847839356,0.9875020333757618,32,0.05,500,1000,1.0,0.0625,51,0.001,1,5,18,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
a84fefc840c04949b7605ea1feedd3e1,6,FINISHED,-0.2849374143966403,48.66747209215367,23116952.84375,5.75922022705079,-0.1283996240320313,-0.2198451018636769,0.968338130418262,-0.1851343307372241,647.5794581363076,1.0,0.252109378084624,647.5794581363076,0.8653878177613159,1.3636864067250345,243.4585738263768,646.2424926757812,250.36464010812333,322.3601918538412,331.3394697222793,646.2424926757812,85876.2766493722,0.9318561438871724,5000.000140786171,2.833035189701261,-0.1283996240320322,21.48136138916016,0.1842679032991867,148964.82728803705,-0.2849374143966401,0.9624775604842056,0.8654123813268455,-0.1851343307372239,0.2329506699105188,0.1588022219033547,5000.0,-0.2198451018636762,156913.75873797075,90194.04250543183,5.228545259174548,0.9847010372947398,32,0.05,500,1000,1.0,0.0625,51,0.001,1,5,17,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
c749cde021874c5ea52f571520b9584b,6,FINISHED,-0.1736876210189586,46.25243861136178,21969834.71484375,7.034746340332035,0.046651985405504,-0.1180772678787833,0.9824140463481248,0.0274632222288918,765.3664269698294,1.0,0.3490091838858313,765.3664269698294,0.9515764478326024,1.3976621151167323,256.78759126913303,760.3224182128906,259.8133736730737,345.84473571777346,354.24932320578057,760.3224182128906,95394.82636899964,0.9756544178512422,4999.999888807534,3.312847692187437,0.0466519854055035,26.52020263671875,0.147316863860253,152638.81537970513,-0.1736876210189588,0.98190635890809,0.9517348496091524,0.0274632222288917,0.3399848205290617,0.1102604226702895,5000.0,-0.1180772678787827,160230.68641583438,97314.91085383212,4.708246978960539,0.9917236429096076,32,0.05,500,1000,1.0,0.0625,51,0.001,1,5,16,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
9213690bf8984980890703ff609ce153,6,FINISHED,-0.6631674194156796,38.82092812617423,18439868.8515625,4.100237229405728,-0.5958690556392596,-0.6527304023007596,0.9707740895883916,-0.5559055547872447,743.5457860043174,1.0,-0.0336950507863507,743.5457860043174,0.6945512529413159,1.5203837577492878,263.32835086448443,745.1207275390625,258.40286379455625,353.2430577596029,351.4174492551569,745.1207275390625,110888.16694294184,0.8390101996555275,4999.999963760376,3.486175437334942,-0.5958690556392598,14.514083862304688,-0.1420808366041565,193093.48781934695,-0.6631674194156794,0.9500592189957324,0.6945512549125126,-0.5559055547872447,-0.011719130575494,-0.1223667599764972,5000.0,-0.6527304023007598,194312.8760718681,108111.32297918222,4.786939078883121,0.990091003222629,32,0.05,500,1000,1.0,0.0625,51,0.001,1,5,15,0.01,100,[0.5 0.4 0.1],4,1,False,grid-original-abm.py
